,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
78,lebu,-37.62,-73.65,56.1,83.0,73.0,8.9,CL,1589126053
79,san quintin,30.48,-115.95,65.95,78.0,28.0,5.44,MX,1589126053
80,njombe,-9.33,34.77,54.66,94.0,67.0,6.35,TZ,1589126053
81,evensk,61.95,159.23,32.94,92.0,99.0,8.52,RU,1589126053
82,omboue,-1.57,9.26,75.49,95.0,100.0,5.12,GA,1589126053
83,egvekinot,66.32,-179.17,31.05,100.0,100.0,9.44,RU,1589126054
84,kholmogory,64.22,41.66,44.6,68.0,20.0,2.24,RU,1589126054
85,hambantota,6.12,81.12,82.4,100.0,40.0,1.12,LK,1589126054
86,neuquen,-38.95,-68.06,60.8,44.0,3.0,2.24,AR,1589125943
87,hayrabolu,41.21,27.11,69.8,43.0,11.0,5.82,TR,1589126054
88,nyurba,63.28,118.33,32.88,92.0,0.0,5.5,RU,1589126055
89,luorong,24.41,109.61,76.42,80.0,12.0,4.74,CN,1589126055
90,saldanha,-33.01,17.94,80.6,30.0,0.0,5.82,ZA,1589126055
91,nikolskoye,59.7,30.79,60.8,21.0,0.0,2.24,RU,1589126055
92,sokoni,-6.43,39.55,80.6,74.0,90.0,8.05,TZ,1589126055
93,chokurdakh,70.63,147.92,27.84,97.0,100.0,14.18,RU,1589126056
94,saint-prosper,46.21,-70.48,39.0,62.0,95.0,11.99,CA,1589126056
95,castro,-24.79,-50.01,70.36,53.0,0.0,8.41,BR,1589126056
96,new norfolk,-42.78,147.06,50.0,85.0,76.0,1.01,AU,1589126056
97,carnarvon,-24.87,113.63,73.04,60.0,82.0,10.31,AU,1589126057
98,kant,27.8,79.8,95.4,20.0,0.0,7.72,IN,1589126057
99,tefe,-3.35,-64.71,80.6,94.0,90.0,3.36,BR,1589126057
100,namibe,-15.2,12.15,86.0,66.0,20.0,11.41,AO,1589126057
101,gardez,33.6,69.23,61.27,54.0,55.0,7.47,AF,1589126057
102,longyearbyen,78.22,15.64,19.4,57.0,40.0,9.17,SJ,1589126058
103,leningradskiy,69.38,178.42,35.01,88.0,100.0,22.64,RU,1589126058
104,hovd,48.01,91.64,51.4,36.0,0.0,0.47,MN,1589126058
105,san jose de guanipa,8.89,-64.17,93.02,36.0,0.0,12.86,VE,1589126058
106,bara,10.37,10.73,98.15,30.0,12.0,3.89,NG,1589125858
107,jamestown,42.1,-79.24,53.01,42.0,90.0,16.11,US,1589125887
108,narsaq,60.92,-46.05,59.0,28.0,75.0,13.87,GL,1589126059
109,road town,18.42,-64.62,86.0,58.0,40.0,12.75,VG,1589126059
110,marsa matruh,31.35,27.25,69.8,64.0,0.0,6.93,EG,1589126059
111,shingu,33.73,135.98,67.66,97.0,100.0,4.0,JP,1589126059
112,myrtle beach,33.69,-78.89,68.0,39.0,1.0,5.82,US,1589125920
113,pinas,-3.67,-79.65,82.4,78.0,75.0,4.7,EC,1589126060
114,kiruna,67.86,20.23,28.4,79.0,100.0,17.22,SE,1589126060
115,khatanga,71.97,102.5,27.43,97.0,100.0,8.1,RU,1589126060
116,sao filipe,14.9,-24.5,74.61,72.0,25.0,15.17,CV,1589126060
117,corinto,37.94,22.96,73.0,51.0,52.0,1.99,GR,1589126061
118,port angeles,48.12,-123.43,63.0,62.0,1.0,4.7,US,1589126061
119,lompoc,34.64,-120.46,51.8,100.0,90.0,4.7,US,1589126061
120,te anau,-45.42,167.72,48.92,84.0,100.0,3.09,NZ,1589126061
121,pisco,-13.7,-76.22,69.8,77.0,0.0,5.82,PE,1589126062
122,itamaraju,-17.04,-39.53,72.82,78.0,93.0,4.07,BR,1589126062
123,kosh-agach,50.0,88.67,52.36,38.0,0.0,2.8,RU,1589126062
124,escanaba,45.75,-87.06,37.99,59.0,90.0,11.41,US,1589126062
125,altamira,-3.2,-52.21,86.0,70.0,75.0,3.36,BR,1589125929
126,harper,4.38,-7.72,85.82,71.0,15.0,13.62,LR,1589126063
127,auki,-8.77,160.7,78.98,86.0,7.0,4.52,SB,1589126063
128,boden,65.83,21.69,39.2,86.0,100.0,5.82,SE,1589126063
129,ust-kuyga,70.02,135.6,29.03,97.0,91.0,8.39,RU,1589126064
130,alpiarca,39.26,-8.58,68.0,45.0,67.0,5.01,PT,1589126064
131,pyay,18.82,95.22,88.38,51.0,4.0,4.27,MM,1589126063
132,veracruz,19.33,-96.67,84.0,74.0,40.0,2.82,MX,1589126064
133,belmonte,-15.86,-38.88,77.0,53.0,75.0,9.17,BR,1589126064
134,saint-philippe,-21.36,55.77,71.6,60.0,75.0,8.05,RE,1589126065
135,kahului,20.89,-156.47,69.8,77.0,1.0,5.82,US,1589126065
136,lima,-12.04,-77.03,75.2,64.0,32.0,9.17,PE,1589125962
137,bathsheba,13.22,-59.52,86.0,62.0,20.0,24.16,BB,1589126065
138,brae,60.4,-1.35,41.0,56.0,95.0,25.28,GB,1589126065
139,bucerias,20.75,-105.33,79.0,69.0,5.0,2.24,MX,1589126066
140,winnemucca,40.97,-117.74,60.8,21.0,1.0,4.14,US,1589126066
141,lagos,6.58,3.75,84.2,79.0,20.0,2.24,NG,1589126066
142,torbay,47.67,-52.73,44.01,64.0,90.0,34.45,CA,1589126066
143,paracuru,-3.41,-39.03,84.99,63.0,83.0,15.99,BR,1589126066
144,sola,-13.88,167.55,82.4,78.0,90.0,4.7,VU,1589126067
145,saint-pierre,-21.34,55.48,71.6,60.0,75.0,8.05,RE,1589126067
146,thompson,55.74,-97.86,19.4,44.0,5.0,11.41,CA,1589125970
147,petropavl,54.88,69.16,68.59,36.0,100.0,11.14,KZ,1589126067
148,tougan,13.07,-3.07,97.39,26.0,84.0,10.07,BF,1589126067
149,cockburn town,21.46,-71.14,80.55,83.0,95.0,22.57,TC,1589126067
150,srednekolymsk,67.45,153.68,29.39,98.0,99.0,14.61,RU,1589126068
151,port hardy,50.7,-127.42,55.4,66.0,40.0,2.24,CA,1589126068
152,quixada,-4.97,-39.02,85.32,60.0,59.0,7.96,BR,1589125857
153,nome,64.5,-165.41,37.0,80.0,40.0,8.39,US,1589126068
154,saint george,37.1,-113.58,75.99,24.0,1.0,1.83,US,1589126068
155,airai,-8.93,125.41,57.22,100.0,8.0,3.29,TL,1589126069
156,burnie,-41.07,145.92,50.0,72.0,79.0,1.01,AU,1589126069
157,sorong,-0.88,131.25,81.48,86.0,96.0,9.82,ID,1589126069
158,matamoros,25.53,-103.25,75.2,44.0,5.0,9.17,MX,1589126069
159,kodiak,57.79,-152.41,42.8,87.0,90.0,3.36,US,1589126069
160,salinas,36.68,-121.66,55.4,76.0,90.0,4.7,US,1589126070
161,svetlogorsk,52.63,29.73,60.82,64.0,75.0,4.03,BY,1589126070
162,yuzhno-kurilsk,44.03,145.86,40.68,97.0,100.0,5.41,RU,1589126070
163,leland,34.26,-78.04,66.0,48.0,1.0,5.82,US,1589125982
164,lensk,60.73,114.93,38.05,92.0,100.0,3.51,RU,1589126070
165,grand bank,47.1,-55.77,37.4,93.0,75.0,39.15,CA,1589126071
166,aklavik,68.22,-135.01,37.4,74.0,75.0,8.05,CA,1589126071
167,tuktoyaktuk,69.45,-133.04,32.0,96.0,75.0,14.99,CA,1589126071
168,mutis,6.23,-77.4,84.81,75.0,100.0,4.34,CO,1589126071
169,lakes entrance,-37.88,147.98,48.0,82.0,0.0,11.99,AU,1589126071
170,ancud,-41.87,-73.82,57.0,76.0,75.0,10.29,CL,1589126072
171,redcliffe,-27.23,153.1,62.6,55.0,75.0,8.05,AU,1589126072
172,ati,13.22,18.34,105.78,6.0,0.0,8.77,TD,1589126072
173,bembereke,10.23,2.66,90.64,43.0,49.0,1.01,BJ,1589126072
174,lagoa,39.05,-27.98,58.78,74.0,22.0,22.48,PT,1589126073
175,kushima,31.46,131.23,64.94,82.0,87.0,9.06,JP,1589126073
176,podgornoye,51.73,39.15,48.2,93.0,90.0,15.66,RU,1589126073
177,torrington,41.8,-73.12,52.0,50.0,53.0,5.99,US,1589126070
178,nyimba,-14.56,30.81,70.21,55.0,52.0,6.24,ZM,1589126073
179,ayagoz,47.97,80.44,60.96,57.0,93.0,4.45,KZ,1589126073
180,lengshuijiang,27.69,111.43,68.13,83.0,21.0,1.5,CN,1589126074
181,am timan,11.03,20.28,103.73,15.0,14.0,2.3,TD,1589126074
182,provideniya,64.38,-173.3,34.16,95.0,100.0,8.46,RU,1589126074
